query,duration
q1-1.sql,63.6806
q1-1.sql,62.6717
q1-1.sql,63.4336
q1-1.sql,64.0815
q1-1.sql,64.9913
q1-2.sql,62.9709
q1-2.sql,59.2870
q1-2.sql,61.5413
q1-2.sql,62.1907
q1-2.sql,62.6900
q1-3.sql,60.6165
q1-3.sql,59.0884
q1-3.sql,63.2876
q1-3.sql,63.0017
q1-3.sql,62.9417
q2-1.sql,72.6465
q2-1.sql,75.4063
q2-1.sql,70.8627
q2-1.sql,70.1502
q2-1.sql,76.5874
q2-2.sql,17.5046
q2-2.sql,17.6537
q2-2.sql,17.1412
q2-2.sql,20.1414
q2-2.sql,16.7943
q2-3.sql,2.6628
q2-3.sql,2.2599
q2-3.sql,2.2651
q2-3.sql,2.8271
q2-3.sql,2.6154
q3-1.sql,109.8935
q3-1.sql,109.5127
q3-1.sql,107.9227
q3-1.sql,108.5879
q3-1.sql,108.6932
q3-2.sql,70.1530
q3-2.sql,70.7668
q3-2.sql,67.4163
q3-2.sql,71.0033
q3-2.sql,67.8879
q3-3.sql,22.6875
q3-3.sql,19.0068
q3-3.sql,23.4679
q3-3.sql,23.1624
q3-3.sql,19.1800
q4-1.sql,112.2136
q4-1.sql,111.4911
q4-1.sql,110.8382
q4-1.sql,111.7956
q4-1.sql,112.5353
q4-2.sql,97.2340
q4-2.sql,95.5926
q4-2.sql,97.8842
q4-2.sql,96.5711
q4-2.sql,97.1750
q4-3.sql,70.0263
q4-3.sql,67.9423
q4-3.sql,69.0226
q4-3.sql,71.7760
q4-3.sql,73.2181
